Obs,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20
4.901050884,1.0637714,2.007536,1.2144542,2.69277,1.3960696,1.8441417,1.6408033,0.95404774,1.5043886,2.115008,0.7940131,0.55033857,1.7489204,0.5979819,1.1958361,1.0938811,1.5510825,1.5563474,1.137513,1.5829585
4.288904738,1.1219065,2.1051292,1.2593994,2.8042147,1.4153358,1.9513808,1.7085898,0.9887174,1.5877655,2.1455297,0.80915344,0.60402805,1.7968084,0.61309725,1.3020056,1.1077137,1.5541598,1.5882463,1.173596,1.6160975
4.481437704,1.3072032,2.2871115,1.7712171,2.937074,1.4497015,2.0995276,1.7971158,1.047202,1.6785479,2.1871405,0.8314713,0.71836954,1.8634245,0.7286769,1.4381214,1.1336526,1.5605391,1.6272708,1.2274501,1.6838746
7.945478421,1.6494551,2.670139,3.1797001,3.1790142,1.5203233,2.426937,1.9694668,1.189887,1.7877238,2.2539804,0.87450767,1.0233339,2.004739,1.4676735,1.7068576,1.2025646,1.5760766,1.6885339,1.3439597,1.8383142
4.667371759,1.6671062,2.7724023,3.00078,3.4518812,1.5772537,2.687345,2.1597922,1.32784,1.9197441,2.30415,0.93485856,1.1062258,2.1455302,2.244114,2.001918,1.2777946,1.596429,1.7617111,1.4632558,1.9085827
4.286187538,1.4803431,2.5944295,1.2277796,3.6078598,1.5908273,2.710239,2.264256,1.3831693,2.0414693,2.3386858,0.98997873,0.95962656,2.2114053,2.5414486,2.147728,1.3154998,1.6135666,1.8168765,1.520896,1.8785448
4.043968645,1.3187125,2.3365219,1.1420676,3.574707,1.5671666,2.5585775,2.258462,1.3645899,2.1012695,2.3628228,1.0154821,0.8207208,2.203445,2.5299497,2.0949473,1.3162949,1.6217057,1.8284105,1.4987068,1.8157891
3.792821811,1.1989206,2.1273284,1.1243576,3.4192235,1.5434343,2.3673282,2.193298,1.3091996,2.10731,2.3596187,1.0193856,0.7260902,2.1585739,2.3907087,1.9410453,1.2965518,1.6220344,1.8151548,1.4565083,1.7616698
3.621638266,1.109712,1.9628805,1.1082402,3.207065,1.5209413,2.1904218,2.1058028,1.2409749,2.0774422,2.3420866,1.0118592,0.66312647,2.0998342,2.2100167,1.7574645,1.2679147,1.6168765,1.7921048,1.4143707,1.7166321
3.436092383,1.0426263,1.8322961,1.0924832,2.9778292,1.4995606,2.038641,2.0138202,1.1716318,2.0244865,2.3195608,0.99852043,0.62010473,2.0375497,2.0263896,1.5775356,1.2367241,1.6079283,1.7656039,1.3750987,1.6786759
3.303337797,0.99155354,1.7274659,1.0770612,2.7542443,1.4791794,1.9107206,1.9254594,1.1064628,1.957583,2.2954402,0.98243886,0.58948976,1.976214,1.8556316,1.4151399,1.2062123,1.5964227,1.738295,1.3387804,1.6462362
3.208623999,1.0387756,1.7243376,1.307018,2.5653234,1.4779484,1.8328377,1.8537819,1.0603876,1.8857075,2.2781882,0.96963394,0.61355615,1.9283029,1.7069268,1.2897621,1.1837325,1.5849711,1.7167706,1.324651,1.647593
